ind,ozone,dzone,ostop,dstop
66769,22,3,230,957
70473,23,1,52,770
19018,3,21,362,342
68936,22,22,48,467
46819,11,2,24,951
384,1,4,506,1695
23749,5,21,1342,313
30557,8,9,1697,863
16822,2,26,295,353
78199,24,2,1668,413
24314,5,27,1682,1330
61474,21,9,983,38
57552,21,2,407,55
56377,21,1,43,39
29165,8,8,367,365
59855,21,8,983,55
83400,25,2,1069,300
23445,5,8,313,1329
43369,10,1,115,112
96710,27,10,393,194
80990,24,21,1665,1670
49801,11,24,987,258
3443,1,16,506,1694
30978,8,10,1270,1697
66679,22,2,254,959
35152,8,24,1696,391
84581,25,9,67,335
75264,23,16,184,1652
54248,18,5,216,106
90436,26,9,379,72
56880,21,1,982,408
90780,26,9,307,73
11186,2,9,772,1691
93401,26,23,1070,79
59328,21,4,44,981
21943,4,22,381,959
64821,21,26,954,399
85069,25,11,68,131
17455,3,6,361,342
22175,4,23,507,160
42028,9,23,1160,1338
82159,24,25,1667,458
61640,21,10,1656,44
16440,2,26,1681,357
78322,24,2,1668,413
47674,11,6,256,949
60736,21,8,57,400
38673,9,3,1183,115614
96541,27,9,207,1658
34678,8,23,1673,1700
16460,2,26,1692,1679
81639,24,23,1660,459
77890,24,1,1661,413
38891,9,4,115611,115619
86684,25,25,123,335
7437,1,24,1677,376
66727,22,2,228,957
16894,2,26,1679,1680
89696,26,8,72,74
48398,11,9,258,7
8024,1,25,506,1695
25464,7,1,18,323
33912,8,22,1698,390
60383,21,8,1655,43
23929,5,22,1690,1330
63964,21,25,406,1653
81841,24,23,1670,460
90062,26,8,379,304
69033,22,23,957,227
92621,26,22,73,120
25244,6,25,27,322
21145,4,10,381,8
47104,11,2,259,1574
12607,2,21,1679,861
3206,1,11,1677,376
57460,21,2,956,39
3035,1,11,1694,380
5949,1,23,1694,1
9273,2,1,1679,861
63388,21,24,1655,982
79694,24,8,459,1663
26359,8,1,1699,863
5069,1,21,1695,380
8476,1,26,1678,380
27009,8,1,368,389
64492,21,26,41,982
85304,25,16,130,98
27968,8,3,368,1702
92021,26,21,119,328
19372,3,23,3,341
60700,21,8,43,982
86327,25,23,333,122
96074,27,8,463,409
15513,2,24,355,347
63024,21,22,980,1648
87281,26,1,306,134
46799,11,2,259,991
52780,16,7,266,776
37891,9,1,1337,115625
48931,11,21,986,1509
32689,8,21,947,1696
44034,10,3,1181,139
90756,26,9,325,135
45699,10,25,315,115
54202,18,2,149,1578
20074,3,26,3,359
4873,1,21,1677,1
72055,23,2,185,46
27534,8,2,864,947
18232,3,11,342,3
48211,11,8,990,1580
19849,3,24,340,342
62006,21,11,406,45
25440,7,1,32,323
5187,1,21,215,1694
31506,8,11,1696,864
87397,26,1,306,95
4233,1,21,1694,1
22154,4,23,542,1652
54434,18,19,1578,1269
22563,4,26,507,79
65270,21,27,980,43
8813,1,26,215,1694
72522,23,3,181,964
71166,23,1,764,156
89456,26,6,135,134
64946,21,26,1649,982
4381,1,21,1694,1
17457,3,6,341,338
96027,27,7,193,401
67717,22,8,466,250
32435,8,20,1703,367
86099,25,23,101,131
7896,1,25,1677,506
37277,8,27,1702,389
79140,24,8,413,1663
36375,8,26,364,1697
33299,8,21,365,862
47924,11,8,987,7
67651,22,8,466,979
5883,1,22,215,1695
54824,19,4,245,243
34241,8,23,862,1674
39511,9,8,163,115623
25696,7,6,2,30
32191,8,16,1270,947
79276,24,8,413,459
44432,10,8,116,317
92943,26,23,79,306
64049,21,25,407,400
27665,8,2,862,1697
25899,7,11,18,33
5065,1,21,215,1677
68054,22,9,501,229
23013,5,2,1690,320
47577,11,4,25,987
26098,7,23,30,309
34673,8,23,1675,363
27492,8,2,386,1702
4724,1,21,1695,506
16030,2,25,1692,772
24004,5,23,1328,1342
82189,24,25,1662,1665
21793,4,21,374,408
11191,2,9,345,1679
19216,3,22,341,362
92387,26,21,92,119
36686,8,26,1673,364
32274,8,18,1675,864
41979,9,23,1162,1337
42682,9,26,1268,1337
85526,25,21,130,335
38424,9,2,1336,115625
43067,9,26,115614,165
21130,4,10,381,111
81744,24,23,459,1661
93926,26,25,120,118
18340,3,11,361,341
89684,26,8,134,308
37577,9,1,115617,1334
63106,21,23,1646,43
28674,8,6,1697,863
59878,21,8,1655,55
43651,10,2,10,113
55908,20,24,89,538
56204,21,1,1647,1657
19887,3,24,3,341
8295,1,26,1694,506
74573,23,10,159,154
23368,5,8,1331,314
95119,27,1,207,59
89434,26,5,78,1070
19169,3,22,342,362
10697,2,9,1680,357
90825,26,9,330,95
59612,21,5,55,1654
91028,26,10,137,75
52463,16,1,773,287
15665,2,24,353,261
78841,24,4,1669,1663
65651,22,1,228,976
3717,1,20,506,1678
74934,23,11,188,181
86163,25,23,126,122
13947,2,22,1693,772
47381,11,3,7,221
12917,2,21,349,772
18545,3,20,3,341
41413,9,22,1339,115628
42488,9,25,115616,115611
80211,24,10,1663,1661
80061,24,9,1668,458
49645,11,23,226,259
43341,10,1,139,178
55370,19,26,1511,1581
54814,19,3,1512,1569
53961,16,26,351,285
38908,9,4,144,115621
52282,8,7,1703,1697
72537,23,3,183,744
53668,16,23,283,287
14967,2,23,343,1691
56611,21,1,1648,54
57458,21,2,1646,55
85300,25,16,299,69
8410,1,26,1678,1
5654,1,22,1694,380
98314,27,26,401,209
46602,11,1,949,221
87883,26,1,75,118
81504,24,22,1660,1667
28836,8,7,1703,1327
17492,3,7,338,358
82419,24,26,1667,411
80554,24,16,1665,459
95135,27,1,393,463
53446,16,21,860,775
49976,11,24,984,223
57960,21,2,57,54
66432,22,2,51,230
88009,26,1,74,327
15657,2,24,349,356
41000,9,21,1335,115615
60292,21,8,41,56
43057,9,26,115624,1164
2746,1,11,215,1677
19352,3,23,339,358
52877,16,8,267,283
81074,24,21,1667,411
34495,8,23,1675,1700
31195,8,11,387,1696
23871,5,22,314,1342
47221,11,2,258,25
83837,25,3,299,131
56165,21,1,407,45
89564,26,7,304,134
46636,11,1,952,989
6945,1,23,380,1678
13213,2,21,1680,772
29243,8,8,1676,388
63800,21,24,954,407
54120,16,27,290,775
17965,3,9,341,361
32070,8,16,1696,388
97194,27,21,396,189
28839,8,7,1703,1697
76088,23,24,963,183
9686,2,5,1681,261
95616,27,2,394,211
44433,10,8,319,11
68702,22,19,957,253
7578,1,24,376,1678
79974,24,9,1665,460
94857,26,27,327,94
28750,8,6,1674,365
53350,16,19,288,291
41751,9,23,1332,1162
69753,22,26,466,254
74291,23,9,52,963
6711,1,23,1694,215
85757,25,21,999,377
67047,22,4,251,504
39941,9,8,115621,1338
41225,9,21,163,115616
63134,21,23,956,954
77666,24,1,1669,1667
33992,8,22,388,947
36366,8,26,1700,947
32366,8,19,387,1675
48634,11,11,24,1625
3945,1,21,1694,380
96852,27,11,212,393
70652,23,1,766,768
36902,8,26,391,1699
15982,2,25,345,1693
71094,23,1,741,1651
18946,3,21,338,358
87456,26,1,72,134
13591,2,21,772,1693
79490,24,8,460,1670
45308,10,22,174,141
1004,1,8,380,1695
94359,26,26,326,330
15482,2,24,1681,344
58164,21,2,57,38
76923,23,26,182,52
8542,1,26,1694,215
95694,27,2,208,210
32233,8,16,1676,1270
60896,21,8,43,981
82041,24,24,1667,410
12459,2,20,295,349
82646,24,26,1667,459
61534,21,10,57,980
86263,25,23,333,122
37938,9,1,176,1161
10986,2,9,1691,355
51048,12,8,62,63
56909,21,1,954,956
52761,1,9,1,1695
36169,8,25,1699,363
89287,26,4,137,74
11223,2,10,1692,347
82691,24,26,413,1666
83763,25,3,133,126
75656,23,22,186,52
86671,25,25,300,68
20849,4,8,374,1270
48624,11,11,223,25
84783,25,9,122,298
67445,22,8,977,252
25099,6,22,1508,15
32323,8,19,370,365
68506,22,12,231,957
27806,8,2,365,1696
72515,23,3,743,187
36345,8,26,388,1676
19155,3,22,361,359
54600,18,25,149,1689
42055,9,23,115622,115626
14848,2,23,344,861
46874,11,2,26,221
34023,8,22,386,390
38734,9,3,165,1339
48384,11,9,25,224
45504,10,23,175,1627
61334,21,9,41,953
22291,4,24,375,1660
52294,26,9,306,72
96969,27,16,396,394
65813,22,1,979,229
70163,23,1,740,768
7873,1,25,1,1695
30740,8,9,370,364
46403,11,1,259,1574
1391,1,8,1677,380
3605,1,18,1695,376
14709,2,23,346,861
23922,5,22,1343,1345
2035,1,9,506,1694
93362,26,23,75,328
79399,24,8,411,1667
39214,9,8,115628,1337
95975,27,6,462,194
71089,23,1,744,188
2028,1,9,506,1677
41543,9,22,162,1268
60967,21,9,1650,41
49517,11,23,1580,950
90947,26,10,379,95
21092,4,10,507,111
81834,24,23,413,1661
81231,24,21,1663,411
33732,8,22,388,363
74251,23,9,1652,963
19360,3,23,341,338
90546,26,9,95,137
7741,1,25,1694,380
57193,21,1,980,1649
93242,26,23,97,93
94794,26,26,74,72
28822,8,7,363,368
83924,25,4,299,999
35342,8,24,1701,369
48557,11,11,991,257
37642,9,1,177,1180
40983,9,21,1180,1183
18953,3,21,360,342
86173,25,23,129,335
89982,26,8,74,305
72843,23,4,181,46
51849,13,16,392,995
3610,1,18,1677,380
83109,25,1,300,999
12231,2,16,772,344
9460,2,2,356,1691
83078,25,1,131,332
14182,2,22,344,861
74582,23,10,742,46
4571,1,21,1695,1
29076,8,8,365,367
35419,8,24,388,1270
77849,24,1,460,1665
74099,23,9,770,768
5032,1,21,380,1694
92934,26,23,95,134
66326,22,2,250,51
15162,2,23,347,772
79318,24,8,1663,1660
18982,3,21,341,361
11239,2,10,345,347
39899,9,8,115622,162
94172,26,25,137,121
65144,21,27,1648,1656
21882,4,22,375,976
77400,23,27,53,155
38092,9,1,115628,1337
37870,9,1,115623,1183
62737,21,21,55,464
1678,1,9,1678,215
25968,7,21,33,18
81817,24,23,413,1660
74586,23,10,744,767
67405,22,8,503,254
83891,25,4,303,377
3719,1,20,1695,1
26762,8,1,1674,1700
65313,21,27,42,1647
81954,24,23,1670,1664
47463,11,4,221,986
24489,6,2,16,771
24244,5,26,1342,320
75868,23,23,159,765
74112,23,9,744,160
97382,27,21,206,462
12291,2,16,345,295
27885,8,3,1701,1675
94057,26,25,97,134
41896,9,23,166,1180
71218,23,1,183,52
63764,21,24,1654,954
41577,9,22,176,115627
77457,23,27,1651,184
13665,2,21,1691,1693
67041,22,4,228,978
10837,2,9,861,346
78624,24,2,460,1665
43923,10,2,175,315
85988,25,22,133,101
16072,2,25,1680,295
2814,1,11,215,1695
83724,25,3,129,123
48266,11,8,255,222
92978,26,23,325,79
51207,12,11,62,324
68306,22,11,251,466
82655,24,26,1670,410
12749,2,21,356,295
83103,25,1,100,71
76409,23,24,182,743
35165,8,24,947,365
15131,2,23,1691,344
78376,24,2,1667,1660
93991,26,25,91,120
52863,16,8,262,348
21758,4,21,542,38
12171,2,13,356,349
51622,12,25,62,36
1087,1,8,376,1678
52513,16,2,283,294
17769,3,8,358,3
32586,8,21,363,1699
46620,11,1,1626,991
81827,24,23,410,413
1902,1,9,1,1695
9547,2,3,349,1681
18466,3,16,360,342
16338,2,26,861,1679
53917,16,25,348,266
7886,1,25,506,1677
50291,11,26,25,989
26455,8,1,363,370
58647,21,2,1654,953
37682,9,1,164,1179
83677,25,3,298,100
26024,7,22,33,2
48223,11,8,1626,505
40669,9,16,115616,115614
7631,1,25,1695,215
33453,8,21,1702,368
17213,2,27,347,355
17709,3,8,361,342
506,1,5,1695,1
61434,21,9,1650,1647
24308,5,26,1329,1341
30387,8,9,389,368
36822,8,26,1676,1674
55376,19,26,1624,1571
11726,2,11,353,772
69710,22,26,50,229
97855,27,23,212,463
87162,25,27,124,300
24535,6,2,260,180
69629,22,26,250,254
24929,6,11,260,16
30510,8,9,863,1699
41719,9,23,115614,1180
8120,1,26,1677,506
83931,25,4,301,132
27678,8,2,1675,1700
54847,19,5,239,1585
68578,22,16,503,502
23018,5,2,313,1342
97611,27,23,1659,214
85545,25,21,101,98
20807,4,8,507,1327
22384,4,24,374,1660
77184,23,26,186,741
32261,8,18,1676,365
41905,9,23,1332,1164
90816,26,9,325,119
44338,10,8,19,141
77335,23,27,1651,160
56937,21,1,45,1649
32173,8,16,363,370
27036,8,1,1702,368
20083,3,26,358,360
52938,16,8,285,275
48280,11,8,255,951
3944,1,21,215,1694
73145,23,6,764,766
58381,21,2,954,43
39901,9,8,115613,115616
47459,11,4,1574,949
64959,21,26,57,400
88296,26,2,120,379
26260,7,26,30,65
52488,16,2,266,292
62585,21,20,1650,953
35309,8,24,1676,1696
29619,8,9,1696,386
49948,11,24,257,984
94625,26,26,379,79
35927,8,25,863,1675
5601,1,22,215,1678
44616,10,8,114,22
72931,23,4,182,52
69948,22,26,503,250
37083,8,27,1676,1674
36845,8,26,365,1700
38358,9,2,115616,1183
79260,24,8,1665,411
90605,26,9,379,73
27910,8,3,1270,1703
3882,1,21,376,1677
56828,21,1,1655,981
64374,21,26,1647,39
45571,10,24,14,179
31990,8,13,1676,1703
47140,11,2,1626,990
39279,9,8,1335,115615
81688,24,23,460,458
83382,25,2,70,334
70436,23,1,47,740
8287,1,26,215,1677
91058,26,10,76,118
89978,26,8,326,97
60309,21,8,1650,408
82605,24,26,1664,411
62179,21,12,1657,55
90673,26,9,306,72
82721,24,26,458,1665
93122,26,23,330,76
66213,22,2,254,467
55487,20,1,510,540
21595,4,21,507,956
11052,2,9,344,349
55185,19,21,1512,240
92689,26,22,379,325
92350,26,21,76,304
83525,25,2,132,302
93281,26,23,137,72
62349,21,16,45,399
70295,23,1,186,1652
92341,26,21,329,326
42621,9,26,1332,1268
22750,4,26,375,79
69314,22,24,252,48
42005,9,23,166,115616
49982,11,24,951,259
5329,1,22,380,1695
82138,24,25,1668,1666
