ind,ozone,dzone,ostop,dstop
4961,1,21,376,45
51910,13,23,89,47
74304,23,9,52,177
6296,1,23,1694,186
4042,1,21,1694,398
37161,8,27,862,409
68818,22,21,252,1650
41594,9,22,177,252
14105,2,22,1680,250
66799,22,3,467,362
38920,9,4,168,381
55077,19,16,1572,294
10784,2,9,772,1183
66333,22,2,228,347
87271,25,27,68,406
24737,6,8,28,388
6518,1,23,215,411
76015,23,24,160,1665
81517,24,22,1664,467
88236,26,2,118,347
97366,27,21,1659,983
21473,4,21,542,981
57622,21,2,1648,344
40806,9,19,1337,1685
66701,22,2,250,1679
64452,21,26,42,119
88742,26,2,325,356
32243,8,18,1698,145
89465,26,6,75,948
20451,3,27,341,189
56592,21,1,42,380
22655,4,26,375,329
40865,9,21,167,954
1978,1,9,380,168
2228,1,9,380,1183
78697,24,3,1668,339
41225,9,21,1180,56
87979,26,1,326,1
57416,21,1,956,215
29711,8,9,364,1180
85658,25,21,333,399
71091,23,1,181,215
49785,11,24,258,460
93605,26,24,72,410
86904,25,26,335,118
32071,8,16,1699,858
94693,26,26,331,326
38488,9,2,177,772
46933,11,2,255,1681
53936,16,26,269,326
20975,4,9,374,162
27918,8,3,863,362
13393,2,21,295,59
16411,2,26,343,118
2382,1,10,506,19
48713,11,12,217,61
64125,21,25,44,69
56587,21,1,42,1695
47898,11,8,1574,862
47117,11,2,255,1679
60970,21,9,982,163
69564,22,25,503,67
13972,2,22,346,468
66186,22,2,250,343
47682,11,7,987,64
70508,23,1,740,1695
15915,2,25,1680,70
11969,2,11,346,996
22357,4,24,542,1669
81541,24,22,1661,957
88982,26,3,74,361
16041,2,25,1692,71
39892,9,8,1339,862
58239,21,2,408,344
23572,5,8,1328,1701
62351,21,16,42,285
97408,27,22,195,227
67252,22,6,252,17
59104,21,3,1646,338
20859,4,8,542,1675
75050,23,12,769,37
85410,25,21,378,1648
80624,24,19,1667,237
34681,8,23,1700,411
12496,2,21,357,980
92766,26,22,93,466
81110,24,21,459,408
27197,8,2,368,1693
2301,1,10,380,314
50703,12,1,37,1
78484,24,2,1670,343
80832,24,21,460,43
74074,23,8,769,388
91684,26,18,305,104
53625,16,22,264,465
68128,22,9,230,162
95998,27,6,191,17
80731,24,21,1660,397
95517,27,2,205,1680
85108,25,11,379,222
83915,25,4,101,375
78008,24,1,459,506
82898,25,1,101,380
36868,8,26,366,329
61305,21,9,58,168
41980,9,23,1338,157
91566,26,16,75,859
4465,1,21,1694,41
71642,23,2,186,1681
63491,21,24,58,1660
20732,4,8,542,364
52515,16,2,290,1679
69638,22,26,231,377
35966,8,25,388,301
78462,24,2,1666,353
1100,1,8,1695,365
4452,1,21,1,40
63350,21,24,955,1667
84749,25,9,334,1339
53663,16,23,272,154
52272,6,26,27,119
15936,2,25,353,101
16153,2,25,772,299
84085,25,7,101,31
13542,2,21,355,43
90376,26,8,306,387
3754,1,21,1,59
90262,26,8,304,369
73085,23,5,160,1690
75803,23,23,52,766
29964,8,9,366,177
38049,9,1,164,215
31878,8,12,1327,62
11638,2,11,861,216
285,1,2,1,345
38016,9,1,1337,1694
79370,24,8,1660,1701
1925,1,9,1,162
2837,1,11,1695,219
66195,22,2,253,343
4709,1,21,380,59
95746,27,3,1659,360
31893,8,12,1673,61
87661,26,1,77,1694
78188,24,2,459,346
38809,9,3,177,342
81359,24,22,410,51
7452,1,24,1694,1669
96900,27,13,196,508
92344,26,21,119,41
1421,1,8,215,1673
80046,24,9,412,1336
23772,5,21,1330,44
76430,23,25,158,335
49712,11,23,1578,188
55238,19,23,1685,182
84208,25,8,124,388
56621,21,1,398,376
73058,23,5,185,1682
29396,8,8,1703,366
79738,24,8,1670,369
38153,9,2,1333,1681
52263,15,24,616,460
77848,24,1,1669,380
2160,1,9,1694,163
24295,5,26,320,328
85947,25,22,124,466
61504,21,10,956,19
76767,23,26,740,327
66627,22,2,231,343
89611,26,8,79,947
12437,2,19,1679,1687
74510,23,9,185,1340
29775,8,9,947,1340
32161,8,16,1700,858
42870,9,26,1335,326
73221,23,8,188,366
27885,8,3,1702,361
47460,11,4,996,375
39542,9,8,1338,387
41943,9,23,1160,183
48523,11,10,223,138
16532,2,26,343,305
75967,23,24,766,412
77600,23,27,741,1658
16953,2,27,1678,406
83743,25,3,301,340
28895,8,7,862,4
61302,21,9,55,1335
35856,8,25,369,124
71926,23,2,741,861
82126,24,25,1665,124
58371,21,2,58,343
73847,23,8,1652,1675
83146,25,1,298,1695
5326,1,22,1695,465
62075,21,11,408,226
98035,27,25,207,300
76642,23,25,156,301
7484,1,24,1694,1665
23534,5,8,319,1676
18210,3,11,359,986
83874,25,4,404,374
76651,23,25,154,298
64741,21,26,45,308
16783,2,26,1693,308
14870,2,23,1678,742
86240,25,23,123,184
36000,8,25,387,102
2690,1,11,1,996
43966,10,3,140,362
84458,25,8,101,1702
4705,1,21,1,1653
67248,22,6,502,6
25400,7,1,2,506
10336,2,8,1691,391
88754,26,2,75,346
34200,8,23,1675,154
20453,3,27,342,209
23044,5,2,1682,346
94419,26,26,72,77
22621,4,26,507,73
16898,2,26,354,121
94732,26,26,121,73
14182,2,22,343,48
31334,8,11,1701,255
13857,2,22,1679,504
43680,10,2,312,295
36218,8,26,365,92
72283,23,3,1652,359
66974,22,3,504,338
46968,11,2,505,355
64633,21,26,1646,118
63966,21,25,40,101
35288,8,24,367,1670
68802,22,21,48,399
69858,22,26,504,121
31451,8,11,863,8
79259,24,8,410,369
64910,21,26,954,97
29464,8,8,1327,1703
13618,2,21,357,463
61106,21,9,43,1339
1116,1,8,1,1676
1156,1,8,1677,1674
88561,26,2,330,1692
96074,27,8,211,1698
66015,22,1,465,376
22518,4,25,375,69
22168,4,23,542,741
7116,1,24,1,1664
29683,8,9,863,164
71844,23,2,182,347
74160,23,9,184,167
52024,21,2,1650,353
47296,11,3,221,341
56494,21,1,1654,1677
39956,9,8,1161,370
77875,24,1,1664,376
87562,26,1,73,376
74003,23,8,768,947
61929,21,11,399,1509
55311,19,24,245,1669
18007,3,9,358,175
16238,2,26,345,118
8398,1,26,506,330
79283,24,8,1661,363
16515,2,26,1692,330
83284,25,2,299,261
77303,23,26,188,329
26578,8,1,364,376
38113,9,2,1333,1691
52301,15,26,371,304
59177,21,4,399,375
72167,23,2,770,344
77295,23,26,156,329
27005,8,1,387,215
72899,23,4,158,381
16937,2,27,343,1671
2954,1,11,1695,951
5786,1,22,380,465
41249,9,21,1161,1649
31688,8,11,1674,217
34866,8,23,363,53
27580,8,2,367,344
80848,24,21,459,41
51541,12,23,38,156
13721,2,21,356,462
91205,26,11,92,36
10608,2,8,344,387
80739,24,21,410,1649
73194,23,7,182,30
19542,3,23,340,46
75703,23,22,767,251
98111,27,26,189,92
74454,23,9,186,1336
5700,1,22,1677,466
37939,9,1,1339,215
57843,21,2,41,295
14146,2,22,353,50
9636,2,5,861,1682
89979,26,8,72,370
20809,4,8,542,364
73834,23,8,1652,369
93474,26,23,74,187
37568,9,1,1340,380
54465,18,21,1626,1649
42104,9,23,168,159
94249,26,26,331,327
66525,22,2,465,1691
72436,23,3,158,362
5747,1,22,1,504
11320,2,10,344,174
65237,21,27,463,192
68401,22,11,231,996
7891,1,25,1,67
87055,25,26,334,121
21440,4,21,381,40
62246,26,22,94,957
23607,5,10,319,140
63705,21,24,44,412
30941,8,10,1696,12
81449,24,22,412,251
89973,26,8,74,391
90374,26,8,328,1702
49974,11,24,216,412
65832,22,1,228,380
27442,8,2,389,261
3038,1,11,376,257
30241,8,9,1327,164
80519,24,16,1662,350
28176,8,4,1701,375
93111,26,23,97,154
42344,9,25,1338,299
25156,6,23,260,1651
86769,25,25,68,131
14719,2,23,345,159
56209,21,1,40,506
53978,16,26,282,73
80835,24,21,1670,980
26805,8,1,1673,1695
98212,27,26,195,96
76450,23,25,157,333
79068,24,6,459,619
44202,10,6,114,296
46575,11,1,226,215
11018,2,9,346,168
98278,27,26,406,377
36788,8,26,386,76
90251,26,8,306,370
82891,25,1,379,1694
68490,22,12,504,324
69022,22,23,504,53
67746,22,8,501,1698
76562,23,25,740,300
85736,25,21,123,1646
90414,26,9,308,1339
23488,5,8,1328,1700
27967,8,3,863,362
16441,2,26,1678,330
48969,11,21,256,1657
1350,1,8,380,1701
74268,23,9,46,177
3249,1,11,1677,219
49766,11,23,950,770
81001,24,21,1670,58
66718,22,2,501,1678
78244,24,2,1662,354
50460,11,26,255,326
84228,25,8,67,366
47399,11,3,505,360
70874,23,1,156,376
40318,9,8,1183,369
93734,26,24,329,410
92254,26,21,326,462
67949,22,9,51,1334
64107,21,25,1657,335
17479,3,6,339,27
15516,2,24,1692,410
11002,2,9,1693,1334
17687,3,8,361,1698
51216,12,11,63,8
12749,2,21,295,982
79823,24,8,1668,1698
11563,2,11,357,986
6948,1,23,380,741
81917,24,23,1670,1651
19835,3,24,342,412
43132,9,27,1180,1671
35710,8,24,388,1666
62661,21,21,1654,955
49115,11,21,505,54
26862,8,1,862,380
17803,3,8,339,863
13875,2,22,1693,250
71228,23,1,766,1677
43855,10,2,20,295
62120,21,12,1657,38
89467,26,6,305,5
35395,8,24,1698,1661
61025,21,9,58,111
82470,24,26,1660,119
57030,21,1,953,380
47050,11,2,1509,1681
26298,8,1,863,506
18668,3,21,342,400
95833,27,3,393,342
45725,10,25,138,131
67666,22,8,229,364
42440,9,25,175,404
92664,26,22,74,467
57140,21,1,408,376
49686,11,23,221,766
10368,2,8,261,389
90476,26,9,120,163
67799,22,8,49,1698
98360,27,27,190,396
55197,19,21,1510,59
10435,2,8,261,1327
38408,9,2,111,356
94154,26,25,97,101
33076,8,21,1674,56
43762,10,2,178,261
89012,26,3,79,341
28461,8,5,1699,1342
60347,21,8,56,368
60777,21,8,55,364
18673,3,21,341,1647
8071,1,25,1677,301
72484,23,3,47,359
4165,1,21,1694,59
24204,5,26,1345,97
8391,1,26,1,302
55851,20,23,540,1651
23122,5,2,1682,345
1845,1,9,1694,175
41456,9,22,175,504
1864,1,9,506,1183
17767,3,8,361,1699
77001,23,26,769,120
53008,16,9,282,1162
46139,11,1,8,1694
66729,22,2,231,1680
8146,1,26,215,327
51658,12,26,324,331
32091,8,16,1697,286
32237,8,16,1696,775
20492,4,1,374,1695
21908,4,22,375,230
27921,8,3,370,339
3516,1,16,376,283
77729,24,1,412,1694
50284,11,26,989,331
70159,23,1,46,376
32428,8,20,369,540
1676,1,9,506,1161
29228,8,8,364,1674
71736,23,2,741,772
26875,8,1,367,506
94837,26,27,120,1658
53020,16,9,775,1183
1670,1,9,1695,166
17774,3,8,358,1698
59806,21,7,1649,65
60649,21,8,1655,1697
47113,11,2,217,261
60925,21,9,54,177
58955,21,3,56,359
70517,23,1,187,506
18005,3,9,339,1335
39323,9,8,1162,1701
70250,23,1,156,1694
4628,1,21,1,1650
15093,2,23,343,766
31668,8,11,1701,255
13256,2,21,1691,399
36215,8,26,366,94
36990,8,26,863,305
31650,8,11,1698,219
71553,23,2,768,357
15145,2,23,1679,184
58858,21,3,954,339
9713,2,5,1692,1330
7725,1,25,1,124
70978,23,1,188,376
36871,8,26,946,329
86188,25,23,99,187
90404,26,9,91,1334
24258,5,26,1343,120
48886,11,19,1625,1571
91138,26,11,326,257
7408,1,24,1695,1666
67228,22,5,504,1331
19627,3,23,361,769
74668,23,10,742,117
38480,9,2,1336,1678
94546,26,26,79,306
15278,2,23,1680,158
56727,21,1,1647,1694
69032,22,23,253,768
54416,18,16,106,262
60066,21,8,54,386
18844,3,21,342,400
29638,8,9,363,1161
53506,16,21,776,400
76018,23,24,769,1669
93071,26,23,75,155
86282,25,23,333,46
63,1,1,215,1677
27934,8,3,363,358
68699,22,19,253,958
59791,21,7,58,2
46427,11,1,226,1694
47644,11,6,952,1630
46831,11,2,989,261
16590,2,26,295,327
91780,26,20,75,510
7192,1,24,506,1663
22961,5,1,1344,380
55168,19,21,1623,1653
86975,25,26,335,92
82859,25,1,101,215
58738,21,3,982,359
47938,11,8,990,1699
48257,11,8,259,946
44423,10,8,315,1702
70208,23,1,156,506
82031,24,24,459,1665
53872,16,25,281,998
70238,23,1,188,1695
59124,21,3,1649,361
73261,23,8,741,366
31959,8,12,365,323
77902,24,1,1661,376
45337,10,22,113,504
67468,22,8,466,863
83341,25,2,301,1680
25999,7,21,32,400
88809,26,2,74,1681
22538,4,25,542,378
75348,23,19,1652,235
68519,22,12,229,309
92335,26,21,302,1647
59761,21,7,59,31
68776,22,21,465,1648
51691,12,26,39,95
91576,26,16,305,283
35485,8,24,388,460
8857,1,26,215,306
26615,8,1,388,380
24142,5,25,1342,100
53001,16,9,278,175
5490,1,22,380,252
51886,13,21,87,55
42470,9,25,1337,335
46845,11,2,8,347
28958,8,8,946,370
80812,24,21,459,1654
57548,21,2,1655,1680
46951,11,2,7,1692
96509,27,8,409,386
23840,5,21,1331,58
12995,2,21,357,1655
67070,22,4,228,375
70580,23,1,157,215
15467,2,24,343,412
97696,27,23,403,159
13973,2,22,1692,252
1208,1,8,1677,1698
66905,22,3,503,339
38642,9,3,1338,338
1785,1,9,1694,1333
68995,22,23,254,411
933,1,8,1677,947
30258,8,9,387,162
86479,25,24,299,1665
92109,26,21,120,44
78311,24,2,1667,1681
56020,21,1,1647,376
34761,8,23,389,159
88973,26,3,120,359
77672,24,1,1670,215
66910,22,3,252,341
2754,1,11,376,223
31871,8,12,1673,309
79572,24,8,1661,1700
12352,2,18,295,103
75198,23,16,1652,286
32911,8,21,370,1653
70050,22,27,51,189
74543,23,10,183,20
72045,23,2,186,1680
80053,24,9,1665,1333
57226,21,1,399,1677
57218,21,1,58,1677
24958,6,16,321,278
24647,6,3,948,362
71075,23,1,741,376
25925,7,16,3,266
41204,9,21,1161,1648
39185,9,8,177,1703
2571,1,10,376,138
28408,8,5,1676,1342
30865,8,10,1696,11
51145,12,9,309,1334
86729,25,25,122,334
6280,1,23,1694,155
79848,24,8,460,1700
21209,4,11,381,221
62840,21,21,1650,462
95718,27,2,206,1679
39662,9,8,1332,387
25301,6,26,311,302
63035,21,22,982,229
49648,11,23,225,740
46889,11,2,10,261
22740,4,26,375,307
26961,8,1,1699,1677
2346,1,10,506,174
76179,23,24,154,1669
59445,21,4,1650,542
66546,22,2,50,356
30248,8,9,389,1160
80395,24,11,460,36
69963,22,27,501,213
2482,1,10,1695,116
6991,1,23,215,157
46661,11,1,949,1677
61940,21,11,1648,989
57014,21,1,399,1694
62798,21,21,55,956
68516,22,12,504,324
38209,9,2,163,354
23239,5,6,1342,988
18630,3,21,361,56
39657,9,8,1180,370
70630,23,1,156,376
27498,8,2,1673,1678
46372,11,1,10,215
24489,6,2,260,1693
9651,2,5,347,1330
92482,26,21,77,55
45440,10,23,115,155
86567,25,24,404,1670
32199,8,16,364,290
19313,3,23,341,768
28160,8,4,1701,375
64712,21,26,956,307
29118,8,8,370,1675
70122,22,27,504,464
51045,12,8,62,386
68229,22,10,51,112
32249,8,18,363,1580
9026,1,27,215,393
60534,21,8,54,369
91298,26,11,118,1509
6087,1,23,376,159
25121,6,23,297,183
79243,24,8,1662,1703
70744,23,1,185,380
38147,9,2,1335,1692
73300,23,8,768,947
2682,1,11,1677,258
43395,10,1,317,215
43360,10,1,141,1
52107,15,9,371,111
35270,8,24,1700,459
18734,3,21,362,982
64952,21,26,55,377
37859,9,1,164,215
20406,3,27,361,1671
84336,25,8,124,386
31914,8,12,1699,61
18334,3,11,339,257
2698,1,11,215,10
30561,8,9,946,167
7856,1,25,1677,334
80051,24,9,1667,1334
88889,26,3,118,338
37328,8,27,391,409
11839,2,11,1680,949
82928,25,1,100,1
15662,2,24,261,1668
54920,19,8,1585,365
84373,25,8,301,389
58814,21,3,1656,358
10431,2,8,353,363
65522,22,1,51,1695
40475,9,11,1161,991
41524,9,22,1162,227
33230,8,21,1673,1649
20951,4,9,374,167
5280,1,22,1677,251
51042,12,8,38,363
58974,21,3,40,339
89668,26,8,308,366
46677,11,1,216,1695
14202,2,22,356,251
89835,26,8,118,1673
13399,2,21,357,55
95286,27,1,196,215
16594,2,26,1681,304
2980,1,11,376,255
96993,27,19,196,1570
84501,25,8,332,864
95601,27,2,190,861
76770,23,26,769,326
44417,10,8,161,1696
21890,4,22,374,231
22646,4,26,374,325
46286,11,1,255,1695
23188,5,4,1342,381
9112,1,27,376,406
23176,5,3,1331,341
84763,25,9,68,164
82984,25,1,69,376
27733,8,2,368,354
61956,21,11,954,991
94376,26,26,328,331
54588,18,25,146,333
31349,8,11,363,950
81782,24,23,459,185
19753,3,24,341,1666
53572,16,22,293,51
82829,25,1,334,376
28191,8,4,1327,381
41566,9,22,175,504
45251,10,22,13,227
59173,21,4,58,381
20207,3,26,360,325
11801,2,11,344,991
62813,21,21,1646,1649
83857,25,4,300,375
45833,10,26,1181,96
50535,11,27,258,1659
48997,11,21,226,956
49765,11,23,987,767
27674,8,2,389,343
82322,24,25,410,998
48048,11,8,505,389
58258,21,2,43,772
42348,9,25,1339,334
55284,19,23,1570,741
16660,2,26,295,73
68166,22,9,230,1160
26523,8,1,1675,376
41172,9,21,1333,59
85584,25,21,102,57
1142,1,8,506,1699
91299,26,11,308,258
61862,21,11,1654,221
10218,2,8,344,389
61666,21,10,954,1576
8791,1,26,1695,325
36093,8,25,1701,70
55394,19,26,1685,91
57810,21,2,983,1693
96675,27,10,206,315
21509,4,21,507,1650
30761,8,9,365,1161
6238,1,23,1695,158
66360,22,2,252,772
61858,21,11,954,10
44454,10,8,312,1270
91407,26,11,328,216
37329,8,27,1675,409
32300,8,18,389,1626
47777,11,8,991,368
88222,26,2,79,354
86608,25,25,300,122
12972,2,21,346,955
8237,1,26,1,325
84031,25,5,131,319
46589,11,1,217,1695
52555,16,2,280,355
50449,11,26,505,90
93208,26,23,95,160
66173,22,2,465,1691
54189,18,2,153,356
83903,25,4,71,507
22275,4,23,374,1652
58287,21,2,462,1679
37042,8,27,1702,403
2368,1,10,1,25
63465,21,24,980,1664
38072,9,1,1334,380
37490,8,27,1700,212
86227,25,23,334,766
63263,21,23,1649,52
12183,2,15,354,1272
78238,24,2,1664,772
92671,26,22,326,501
42389,9,25,1160,99
21126,4,10,375,13
38036,9,1,1339,215
93537,26,24,97,460
2192,1,9,1677,1339
23380,5,8,1690,386
12979,2,21,356,1649
81663,24,23,1667,182
86373,25,24,122,1669
65379,22,1,228,1694
97245,27,21,394,398
33238,8,21,1270,1650
51703,12,26,38,73
21468,4,21,507,462
59074,21,3,59,361
29879,8,9,1696,1161
84724,25,9,70,175
14843,2,23,353,158
79688,24,8,1668,1698
79329,24,8,1663,1700
2529,1,10,1677,112
86209,25,23,69,188
20632,4,6,375,948
50672,12,1,60,1694
58401,21,2,983,861
4811,1,21,506,43
19685,3,23,361,53
51624,12,25,37,332
20007,3,25,362,99
44691,10,9,144,1335
75205,23,16,187,275
29530,8,9,946,177
36898,8,26,1697,121
73859,23,8,53,365
54946,19,8,1585,365
92123,26,21,74,400
57628,21,2,1655,772
96308,27,8,1671,862
74770,23,11,154,10
10748,2,9,1693,1337
71439,23,2,766,1680
20871,4,8,375,368
57858,21,2,54,343
57398,21,1,44,380
13252,2,21,354,41
93331,26,23,302,154
3827,1,21,1694,981
73551,23,8,158,1701
72445,23,3,187,359
